iter	Passed	Remaining
0	2843	2840661
1	6323	3155177
2	8857	2943540
3	12440	3097694
4	15533	3091100
5	18984	3145159
6	22318	3166082
7	25416	3151678
8	28933	3185879
9	31953	3163347
10	35146	3160002
11	38559	3174736
12	42432	3221623
13	46392	3267367
14	49778	3268785
15	53519	3291443
16	57809	3342768
17	61739	3368218
18	65674	3390877
19	69245	3393049
20	73090	3407391
21	76845	3416137
22	80826	3433369
23	84891	3452255
24	88787	3462706
25	93428	3499965
26	96657	3483243
27	100877	3501903
28	105087	3518622
29	109262	3532810
30	113734	3555126
31	117833	3564467
32	122462	3588535
33	126689	3599470
34	131383	3622437
35	135932	3639978
36	141112	3672741
37	146745	3714980
38	151634	3736420
39	155971	3743318
40	161280	3772389
41	166534	3798580
42	170742	3800005
43	175068	3803756
44	179883	3817534
45	185282	3842597
46	189866	3849839
47	195217	3871822
48	199358	3869174
49	204389	3883393
50	207942	3869353
51	213405	3890547
52	218374	3901899
53	223360	3912947
54	229205	3938174
55	234234	3948528
56	239204	3957364
57	243535	3955347
58	248301	3960200
59	253433	3970461
60	258080	3972739
61	263445	3985667
62	268162	3988382
63	272150	3980205
64	276951	3983846
65	282624	3999559
66	287979	4010227
67	292568	4009915
68	297436	4013244
69	302761	4022406
70	307682	4025872
71	309570	3990021
72	313664	3983114
73	318628	3987159
74	323695	3992240
75	328071	3988653
76	333142	3993379
77	337758	3992476
78	342880	3997374
79	348328	4005774
80	354978	4027476
81	360714	4038247
82	366024	4043914
83	371326	4049232
84	376758	4055698
85	377913	4016433
86	383351	4022989
87	388157	4022719
88	390176	3993824
89	395626	4000226
90	401063	4006225
91	405982	4006866
92	410358	4002093
93	415552	4005218
94	419061	3992108
95	424437	3996790
96	429266	3996163
97	434518	3999340
98	438923	3994644
99	443645	3992808
100	448713	3993997
101	452394	3982847
102	457733	3986281
103	462757	3986832
104	467813	3987554
105	472164	3982218
106	477310	3983538
107	482018	3981113
108	487206	3982574
109	492541	3985105
110	497697	3986067
111	502567	3984640
112	507559	3984120
113	512287	3981464
114	516447	3974399
115	521108	3971203
116	525244	3964022
117	530613	3966110
118	535567	3964997
119	541143	3968387
120	546329	3968791
121	550368	3960850
122	554422	3953074
123	557790	3940521
124	560394	3922759
125	565181	3920385
126	569583	3915324
127	574465	3913544
128	579983	3916015
129	585409	3917737
130	590835	3919357
131	595346	3914856
132	600622	3915336
133	605627	3913983
134	609726	3906766
135	616020	3913540
136	621237	3913344
137	626127	3911031
138	631008	3908620
139	634896	3900079
140	641119	3905825
141	644750	3895746
142	649476	3892314
143	653326	3883660
144	658289	3881640
145	663626	3881761
146	667420	3872854
147	672327	3870426
148	676943	3866302
149	681950	3864388
150	687677	3866475
151	692297	3862289
152	695919	3852573
153	700247	3846813
154	705440	3845788
155	709207	3836994
156	715235	3840403
157	720254	3838318
158	726101	3840572
159	731588	3840840
160	736961	3840438
161	742415	3840396
162	746338	3832423
163	752097	3833860
164	757251	3832153
165	763392	3835359
166	768667	3834130
167	773556	3830947
168	779078	3830852
169	783753	3826561
170	788760	3823871
171	793589	3820301
172	799100	3819978
173	804358	3818390
174	810255	3819774
175	815329	3817224
176	821960	3821882
177	827530	3821515
178	832682	3819177
179	839241	3823209
180	846464	3830134
181	852728	3832591
182	857687	3829127
183	863201	3828110
184	869474	3830388
185	874824	3828533
186	879606	3824172
187	885147	3823082
188	890483	3821068
189	896263	3820910
190	902031	3820644
191	906894	3816516
192	913029	3817691
193	917705	3812735
194	922709	3809134
195	927842	3806047
196	932872	3802520
197	938619	3801881
198	944109	3800158
199	949989	3799959
200	955133	3796773
201	962523	3802445
202	967194	3797308
203	972512	3794707
204	977887	3792296
205	983114	3789284
206	987952	3784765
